leon,animales,facil
gato,animales,facil
perro,animales,facil
lobo,animales,facil
oso,animales,facil
zorro,animales,facil
vaca,animales,facil
raton,animales,facil
pato,animales,facil
gallo,animales,facil
caballo,animales,facil
burro,animales,facil
oveja,animales,facil
cabra,animales,facil
pollo,animales,facil
conejo,animales,facil
tigre,animales,facil
mono,animales,facil
pez,animales,facil
rana,animales,facil
tortuga,animales,facil
camello,animales,facil
delfin,animales,facil
foca,animales,facil
ganso,animales,facil
jirafa,animales,facil
koala,animales,facil
liebre,animales,facil
loro,animales,facil
mariposa,animales,facil
mosca,animales,facil
oso,animales,facil
panda,animales,facil
pavo,animales,facil
pollo,animales,facil
pulpo,animales,facil
raton,animales,facil
sapo,animales,facil
serpiente,animales,facil
tigre,animales,facil
topo,animales,facil
toro,animales,facil
zebra,animales,facil
abeja,animales,facil
alce,animales,facil
ardilla,animales,facil
avispa,animales,facil
bisonte,animales,facil
bufalo,animales,facil
cabra,animales,facil
elefante,animales,media
murcielago,animales,media
hipopotamo,animales,media
camaleon,animales,media
cangrejo,animales,media
canguro,animales,media
caracol,animales,media
cebra,animales,media
ciervo,animales,media
cisne,animales,media
cocodrilo,animales,media
colibri,animales,media
correcaminos,animales,media
cuervo,animales,media
dromedario,animales,media
erizo,animales,media
flamenco,animales,media
gacela,animales,media
gaviota,animales,media
golondrina,animales,media
hormiga,animales,media
iguana,animales,media
jaguar,animales,media
langosta,animales,media
leopardo,animales,media
lince,animales,media
llama,animales,media
mandril,animales,media
mapache,animales,media
mariposa,animales,media
mofeta,animales,media
monoaraña,animales,media
nutria,animales,media
ocelote,animales,media
ornitorrinco,animales,media
osoantartico,animales,media
pelicano,animales,media
pinguino,animales,media
piton,animales,media
quokka,animales,media
rinoceronte,animales,media
salamandra,animales,media
tapir,animales,media
tarsier,animales,media
tiburon,animales,media
tucan,animales,media
urubu,animales,media
vicuna,animales,media
wombat,animales,media
yacaré,animales,media
ornitorrinco,animales,dificil
axolote,animales,dificil
binturong,animales,dificil
cacomixtle,animales,dificil
capibara,animales,dificil
celacanto,animales,dificil
coendú,animales,dificil
desmán,animales,dificil
dugongo,animales,dificil
equidna,animales,dificil
fosa,animales,dificil
gavial,animales,dificil
ibis,animales,dificil
jerbo,animales,dificil
kiwi,animales,dificil
kudu,animales,dificil
lemur,animales,dificil
manatí,animales,dificil
narval,animales,dificil
okapi,animales,dificil
pangolin,animales,dificil
quetzal,animales,dificil
ratopomolinero,animales,dificil
saola,animales,dificil
solenodon,animales,dificil
tapir,animales,dificil
tenrec,animales,dificil
titi,animales,dificil
trogon,animales,dificil
uakari,animales,dificil
vicuna,animales,dificil
wombat,animales,dificil
xoloitzcuintle,animales,dificil
yeti,animales,dificil
zorilla,animales,dificil
zorroartico,animales,dificil
zorrofenec,animales,dificil
zorrillo,animales,dificil
zorzal,animales,dificil
zorzalpatagónico,animales,dificil
zorzalreal,animales,dificil
zorzalrojo,animales,dificil
zorzaltriste,animales,dificil
zorzalverde,animales,dificil
zorzalzul,animales,dificil
zorzalnegro,animales,dificil
zorzalblanco,animales,dificil
zorzalamarillo,animales,dificil
zorzalgris,animales,dificil
